City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,keflavik,64.0049,-22.5624,46.83,93,100,27.63,IS,1726506925
158,nahiyat al fuhud,30.9697,46.7228,98.78,16,0,7.18,IQ,1726506927
159,griffith,41.5284,-87.4237,87.94,36,0,4.61,US,1726506928
160,noosa heads,-26.3833,153.15,60.21,81,56,7.63,AU,1726506929
161,utrik,11.2278,169.8474,82.71,76,62,11.79,MH,1726506930
162,illela,13.7292,5.2975,92.26,48,67,8.57,NG,1726506931
163,igrim,63.1906,64.4162,58.35,87,32,5.73,RU,1726506932
164,nadi,-17.8,177.4167,73.4,88,40,0.0,FJ,1726506933
165,colonia,50.9333,6.95,68.95,67,63,8.46,DE,1726506916
166,jamestown,42.097,-79.2353,79.02,46,20,10.36,US,1726506935
167,qaqortoq,60.7167,-46.0333,40.96,82,99,5.82,GL,1726506936
168,champerico,14.3,-91.9167,86.65,74,82,8.93,GT,1726506937
169,lompoc,34.6391,-120.4579,64.53,71,75,11.5,US,1726506938
170,kerikeri,-35.2268,173.9474,48.78,75,56,7.78,NZ,1726506659
171,siem reap,13.5,104.0,76.35,96,100,5.53,KH,1726506940
172,egilsstadir,65.2653,-14.3948,48.11,66,75,4.61,IS,1726506941
173,sandnessjoen,66.0217,12.6316,55.51,82,75,12.66,NO,1726506942
174,kapit,2.0167,112.9333,75.58,85,96,1.45,MY,1726506944
175,longyearbyen,78.2186,15.6401,48.04,71,75,20.71,SJ,1726506945
176,mar del plata,-38.0023,-57.5575,65.03,37,4,8.7,AR,1726506753
177,nizhnesortymskiy,62.4397,71.7603,49.64,68,11,11.03,RU,1726506947
178,acapulco de juarez,16.8634,-99.8901,89.42,70,100,2.3,MX,1726506949
179,roma,43.2128,-75.4557,82.69,58,0,1.01,US,1726506686
180,saipan,15.1355,145.701,84.9,79,75,14.97,MP,1726506951
181,saudarkrokur,65.7461,-19.6394,44.82,63,97,6.87,IS,1726506952
182,la sarre,48.8002,-79.1996,78.82,53,50,12.77,CA,1726506953
183,kadugli,11.0167,29.7167,77.92,79,83,3.96,SD,1726506954
184,bikenibeu village,1.3673,173.1241,82.36,78,20,5.75,KI,1726506955
185,aldan,58.6031,125.3894,32.05,98,99,5.5,RU,1726506956
186,tukrah,32.5341,20.5791,77.41,53,0,8.84,LY,1726506957
187,kargat,55.1956,80.2811,41.94,69,99,5.08,RU,1726506958
188,callao,-12.0667,-77.15,68.72,82,100,4.61,PE,1726506959
189,codrington,-38.2667,141.9667,43.5,87,94,8.48,AU,1726506960
190,carnarvon,-24.8667,113.6333,71.15,35,0,13.09,AU,1726506961
191,vrnjacka banja,43.6167,20.9,51.62,89,88,3.09,RS,1726506962
192,puerto deseado,-47.7503,-65.8938,57.34,41,0,20.89,AR,1726506963
